filing_uuid,general_issue_code
2e14fe15-c70d-4b56-8c6a-5f98e7f0b1bc,TAX
7a1f9ed0-8c04-41bb-b7c5-8f054d7a77a1,BUD
2226c545-72a9-4bcc-a5b6-10d8bac76968,FOO
e3954648-92b9-4629-890f-91cb0195f5a3,COM
15dc5587-3a7b-4091-a9b9-3f2eb3dc24c1,TRD
0deab37e-98cb-4a0c-873e-ba44e1b9670d,UNM
26af6a7f-bdcd-4415-8d51-1c538ca34d62,TAX
6360542b-6e08-4112-b5d4-7374471ea265,COM
756eafed-b5bb-4a76-a569-fe06d109607d,MAR
33962567-7740-4d1a-92c9-68965b3cd532,CSP
9a9e1329-f258-4214-a485-3f1eb0258d2c,MAR
24723016-18e8-49cb-a39d-066c56984a54,BUD
2913c708-a2ae-4014-b41a-6685c6199a0f,LAW
4a5a69d7-5d69-427b-a6c2-0d77f2b01daa,WEL
1903b20b-f333-43c1-8d4b-c8d46c9225e6,SCI
e6369e24-e284-48e7-8ac9-2671a7904737,BUD
87d5bc1d-4b02-44dc-b992-9762fc8173b5,BUD
4f3ba23d-6c5a-4913-a2fe-4e438e51e0cc,DEF
28cd3080-1d8e-4032-a978-08bc4feffbfb,TAX
3cf81a87-b553-4f11-957b-e7c48a3533a5,WAS
218b7234-ba39-4aec-93f2-99d36f6a890c,HCR
1bd19c5f-2f5a-4407-858c-12c38677bec5,INS
9e832d81-fb09-4927-9d5e-1c935311b00a,TOR
8ed03ff1-6a55-4fcd-9d34-8e16dcdc9557,DEF
7608801e-d7fe-4ad7-a82a-9c46f5d944c9,AER
ff207b5d-bf21-41f3-bda7-883a61c88b37,INS
6fd8066a-7bf5-4086-90fc-58263a89faab,ROD
697dc85e-fbcf-43af-ba71-f4e24a759b20,TAX
a2926627-518a-439c-be42-455d48ce098e,FOR
db5e91a8-ab3d-4a09-a06c-e8b90357c6c5,HCR
d253c0a5-43de-4413-829f-9c7970a2c311,INS
de504f04-13f3-4b16-8a35-8ded073b43ce,FOO
001958eb-fcdc-4fcf-8bf8-362a45e52fc4,TRD
bf85d707-0278-4c25-a412-8cc5ad6da42e,DEF
50f11be3-d3e9-48bc-811c-dd3ef461d960,DEF
39f134ed-4542-40da-ab6e-4e12e02ec528,IMM
7653af81-199b-4f94-9074-4db724667e0f,MMM
a3199a1d-c45b-4457-b61e-788720e860b2,CSP
8d4b7618-f603-4236-9cd7-42d7985137cf,DEF
d3cf6bec-8e5b-42cc-af46-ee33ba4b70a1,EDU
2b9d3230-1fe8-4833-8245-878497e96f0e,BUD
61b588b5-04e4-46e2-ac6d-55ca2e05f154,TRA
961eaabc-f7ac-4483-a98e-7330536fa500,HCR
d938ddb2-8c2e-466a-8a5c-97c7c1321cae,CAW
d29678f1-5839-440c-a9c8-4020c41b3f4d,HCR
edff66cd-af37-4c88-b329-e52d9f8d2d82,TOU
a682487b-dd44-4b8a-aceb-30ecdf902df8,TAX
ff207b5d-bf21-41f3-bda7-883a61c88b37,RET
785a0aa0-5461-4d49-9432-aa6ccf1f1aff,INS
8030043b-c391-4f68-96ba-473735a99583,TAX
c7800aca-6835-4423-bb17-96f4e185ec60,HCR
e7d96465-1c66-4704-b181-6670104c7274,EDU
4a747486-d665-4678-8240-d3ef1ea60260,BUD
2613f5ca-761a-49ff-9f94-f6bda279c2fd,BUD
61927cc9-96fa-47f7-9e6c-7707227e60d4,DEF
753a78c5-17f8-4839-9ed6-f48922871bfc,AGR
28ac7f8e-b5b3-4f76-854a-53f37b7725f1,COM
4d0e6041-9dee-4ccd-a8c1-76fc40116542,TEC
960d8028-d8c4-487a-92e3-0d7dab75c61d,ROD
75397f78-cf89-4512-b601-09151d60183d,RET
